rank,layer,neuron,score
338,6,3736,0.23123460919852676
339,15,9023,0.23110491390775867
340,11,5966,0.23104074658145046
341,8,3729,0.23102032587495236
342,17,5734,0.23086156176616437
343,13,3520,0.230786657587065
344,6,5723,0.2307575459515094
345,6,2785,0.23075115061507342
346,16,898,0.23058533956562174
347,0,7419,0.2305750684467615
348,4,3672,0.23048382696640166
349,8,5560,0.2304806969057882
350,7,4627,0.23032079880475564
351,25,7461,0.230215871983547
352,14,4024,0.23014485663515266
353,13,8608,0.2301082956186597
354,12,3176,0.23010031607485606
355,9,3844,0.2299545540049236
356,12,1495,0.22988585108154433
357,2,8110,0.22983857244604797
358,5,9057,0.22975792631865383
359,6,7615,0.22974852080475427
360,7,3324,0.22969719815370288
361,24,7584,0.22961151052001985
362,13,3846,0.2295980864822271
363,7,4404,0.22935563124869973
364,14,3128,0.22934964778610234
365,10,6524,0.22932607785385042
366,8,4432,0.22926572672321188
367,13,9083,0.22925674853286013
368,24,6520,0.2291863091368425
369,10,6291,0.2290953894430949
370,14,2380,0.22904603585188035
371,6,5535,0.22879961578583646
372,0,1909,0.22874593546903665
373,7,3717,0.2287199259026499
374,17,3182,0.22865164946098648
375,1,6468,0.22835775599259603
376,17,6068,0.2283497253521943
377,6,1287,0.22822971722834132
378,21,4316,0.22819379794107894
379,19,6609,0.22815854415400147
380,8,5848,0.2281115398767256
381,13,9090,0.22803358940535606
382,11,955,0.2280313865195007
383,6,5876,0.22786045620677917
384,5,967,0.22770242076448655
385,24,7674,0.22767222242846738
386,14,7562,0.22757437797207766
387,11,2508,0.22756606244354818
388,6,5887,0.22744013293193063
389,9,3590,0.22712537076590142
390,19,5096,0.2270141395577915
391,11,1971,0.22701267183081209
392,17,4248,0.22697151801479268
393,14,9052,0.22690938995173002
394,14,5784,0.2268240433628403
395,20,4894,0.2266838064129939
396,23,8347,0.2266313949701046
397,9,2549,0.2265848314092969
398,14,6506,0.22654453631958577
399,8,1591,0.2264189046987437
400,12,2294,0.22636204042029504
401,9,538,0.22630480918920548
402,8,4752,0.22625427244359841
403,8,8341,0.22619292051229534
404,6,810,0.2261669808917397
405,14,8156,0.22609907435189097
406,11,1267,0.2260154958539608
407,7,4413,0.2259518621653212
408,19,7621,0.2259260091270687
409,16,8395,0.22578760529685277
410,5,8729,0.2257873520667252
411,13,3164,0.2257395512990655
412,8,8220,0.22571429399742676
413,11,1239,0.22556786165627374
414,9,7733,0.2255155640020552
415,6,6151,0.22538159086588777
416,11,3401,0.22527444631790128
417,17,7955,0.22520955446637325
418,19,383,0.2251736002980669
419,12,2940,0.22513550101033863
420,8,8521,0.22509068071890054
421,16,2142,0.22507948593292781
422,11,3644,0.22507887210316355
423,6,4567,0.22501513393814251
424,7,6314,0.22501123802270429
