rank,layer,neuron,score
176,6,725,0.7011469438970431
177,7,3667,0.7005526044119713
178,11,7007,0.7000043897768655
179,12,8182,0.6982096460546495
180,7,4274,0.696400425347666
181,7,846,0.6950241152540284
182,6,2495,0.6933364490036777
183,8,4941,0.692647629906003
184,11,4953,0.6923540874912721
185,11,5734,0.6907280591961767
186,9,129,0.6896451642484359
187,12,1065,0.6876864363196409
188,5,6277,0.6875513389843863
189,6,5281,0.6869091018398282
190,6,8969,0.6847803218499282
191,12,8125,0.6846902536124535
192,10,6328,0.6839470697016306
193,10,5685,0.6838959515491818
194,7,3977,0.6835412054251669
195,6,5513,0.6828233443505191
196,9,3844,0.6813712188202643
197,8,6787,0.6801249023744731
198,11,1606,0.6799852582059132
199,9,349,0.6797158822644945
200,7,2920,0.6786295999568529
201,12,586,0.6768842975755626
202,9,2630,0.6762316165077747
203,12,2368,0.6736013820342668
204,13,1681,0.6730076982316646
205,11,514,0.6728728192823222
206,10,7757,0.6726055671350221
207,12,8650,0.6725783855071719
208,12,1347,0.6722298138184126
209,8,5873,0.6716308381139184
210,12,2942,0.6710378016088862
211,7,2748,0.6707688356461726
212,7,7212,0.6693817522471474
213,9,6981,0.6675181242502631
214,10,7291,0.6660906827030925
215,7,3703,0.6651012137711771
216,8,7289,0.664106475156801
217,11,8085,0.6630837652410879
218,7,5088,0.6627497403494571
219,12,7151,0.6622417077677181
220,11,6043,0.6619880306653984
221,11,3206,0.6618772537246076
222,5,4050,0.6618090569751988
223,7,2641,0.6603902891226282
224,10,6214,0.6601733555302847
225,13,4244,0.6597466945911984
226,10,3507,0.6592127515929413
227,12,1536,0.6588022191985949
228,11,6469,0.657927946536581
229,6,2436,0.6567332518666974
230,7,8002,0.6563049369353064
231,6,5887,0.6560397109772059
232,10,404,0.6552121460030841
233,14,1597,0.6549497007259801
234,10,1618,0.6549382539176346
235,7,5092,0.6543024340856988
236,8,4439,0.6540034253359923
237,6,2139,0.6528679544623601
238,7,9135,0.6528473893827669
239,11,5327,0.6524801449184414
240,9,3334,0.6500143125824005
241,11,3063,0.6489968511019014
242,6,3817,0.6487550116689993
243,7,2172,0.6484954375807833
244,7,5007,0.647775927835356
245,7,2397,0.6467246206866953
246,12,8095,0.6466078175181139
247,5,6436,0.6464106809529502
248,12,8823,0.6462658976769745
249,5,9053,0.6457601778514435
250,4,4052,0.6454526150355839
251,12,6717,0.6439837220111555
252,12,4704,0.6439205446786539
253,16,8922,0.6429419948599274
254,7,822,0.641591105440006
255,7,7506,0.6398234918500295
256,11,5171,0.6394996601582101
257,12,4136,0.638902700159231
258,6,859,0.6372591752963579
259,5,8490,0.6369575023518516
260,8,6294,0.6368357081265519
261,10,7637,0.6367536839892748
262,5,4904,0.6360664040510012
263,7,8077,0.6340468020647914
264,10,6999,0.6340386553502284
265,7,5173,0.63327589704975
266,6,6839,0.6322073360451912
267,10,8029,0.6321694242458045
268,8,589,0.6320100471754371
269,9,2466,0.6318656388637706
270,10,434,0.6310750478775576
271,6,1278,0.6307320793907737
272,8,8569,0.6304554041267338
273,12,8649,0.6301799372295708
274,7,1742,0.6301075348764099
275,12,5547,0.6285932380531102
276,14,9089,0.6282081749106286
277,11,2352,0.6279759416932102
278,7,6856,0.6272736550348104
279,12,8769,0.6271664612053233
280,7,774,0.6260819698882291
281,7,218,0.6259218717276729
282,9,6238,0.6256180345640395
283,16,6503,0.6255378630658667
284,10,2909,0.6255085895459531
285,9,6741,0.6246192267935758
286,11,6230,0.6245717428891961
287,12,749,0.6243370265898891
288,7,1643,0.6242524822868792
289,13,1945,0.6230934123802259
290,16,590,0.6226764411768402
291,12,1895,0.6223303001005528
292,10,6169,0.6221447880060509
293,13,442,0.6216734686664809
294,8,1569,0.6210114261999371
295,7,6135,0.6209257982440797
296,9,3568,0.6206960826619805
297,9,3843,0.6203066206047971
298,7,2620,0.6197114726469409
299,6,4866,0.6193945283106541
300,11,3410,0.6190211938203449
301,8,5927,0.6188101319361982
302,5,4538,0.6184183310610669
303,11,6407,0.6171445037843539
304,7,40,0.6162796386848806
305,8,8397,0.6147777413766587
306,12,427,0.6145393127532912
307,5,4397,0.6143208114081442
308,10,308,0.6140856186272327
309,9,5107,0.6134869303054317
310,8,7917,0.6133578463844249
311,12,3991,0.6125625650331814
312,13,5974,0.6123483912353151
313,7,4163,0.612022887777778
314,9,7738,0.6109434279202597
315,4,8762,0.6105911409852758
316,7,4954,0.6104479828725858
317,10,7162,0.6096003940622976
318,4,2540,0.6092624397225417
319,11,1649,0.6092403169496473
320,9,7180,0.607990748562347
321,12,821,0.6069752647979678
322,10,1969,0.6062015411695354
323,8,3000,0.605631188213121
324,8,7584,0.6055475483433542
325,7,2324,0.6052590517262085
326,10,8832,0.6052589289440217
327,7,4341,0.6050380453742566
328,11,2777,0.604931168072275
329,14,2631,0.604718861416681
330,8,7568,0.604304370531598
331,9,2761,0.6042932739060048
332,12,4077,0.6037872709823263
333,8,3380,0.6035992166961494
334,9,4777,0.6029915970622747
335,12,2432,0.6028796301614516
336,9,6787,0.6023876267287795
337,11,5025,0.6023726599677273
338,7,8482,0.6023636336428773
339,11,6244,0.602026219629297
340,7,5398,0.600841849378942
341,10,876,0.6004730460344266
342,9,6767,0.6001005654547911
343,12,2703,0.5998935603734974
344,7,577,0.5993925360142319
345,12,6757,0.5991145418370476
346,7,1960,0.5990962577908078
347,6,4397,0.5988526864606253
348,5,1491,0.5987810473176609
349,11,6056,0.598507381085212
350,9,3348,0.5978398744923429
351,6,2908,0.5978301778087661
352,11,1330,0.5975734667984909
353,10,982,0.5975371815620424
354,13,5642,0.5973952969814912
355,17,1995,0.5963916243292844
356,10,3625,0.5961273970461262
357,12,1574,0.5960100649703876
358,5,3009,0.5959549356109948
359,12,6055,0.5944841551973536
360,8,6404,0.593953269974437
361,7,7376,0.593846137326599
362,11,176,0.5936338129411185
363,8,3432,0.5932604866322128
364,14,1420,0.5932388071614703
365,12,4571,0.5930354739498098
366,8,8959,0.5929599246633919
367,6,2111,0.5923292489204263
368,10,4665,0.5915510380985153
369,4,4235,0.5910233221084826
370,8,5803,0.5909101671352108
371,14,2616,0.5907493118977348
372,8,1591,0.5903703110970034
373,10,5836,0.5898418920720635
374,6,8497,0.5895314248266316
375,12,2813,0.588878403458061
376,7,8095,0.5880549160759798
377,9,2271,0.5863525774007252
378,13,997,0.5861055988451661
379,8,8124,0.585925984259409
380,13,3658,0.5853264644600857
381,11,30,0.5851105406137709
382,9,8984,0.584873705297427
383,11,5895,0.5847942302329637
384,5,4135,0.5838670140771461
385,5,3119,0.5838262737381356
386,13,5697,0.5836383489932571
387,10,5867,0.583506171835983
388,9,6060,0.5824023695030146
389,11,8896,0.5820556038492655
390,7,1286,0.5817969067044376
391,10,7518,0.5816002853878601
392,10,8124,0.5803403160009758
393,9,4956,0.5800786314003014
394,11,8717,0.5799382012840747
395,7,1241,0.5792453655106261
396,11,4413,0.5785694599834342
397,9,7580,0.5781489631401258
398,7,7331,0.5780642920840602
399,6,855,0.5768064390176433
400,12,2010,0.576803654592956
401,7,8942,0.5766356379293059
402,4,4289,0.576015482034036
403,6,2729,0.5759268341626711
404,13,4547,0.5749502354005
405,10,7606,0.5744117740122031
406,13,3572,0.5742867462674821
407,14,7537,0.5742543330793255
408,12,8853,0.5737771482794746
409,4,5084,0.5732326617228958
410,6,6445,0.5730189106441131
411,13,6707,0.5728142796768962
412,11,7534,0.5726989093195998
413,11,6856,0.5725313804569515
414,13,7891,0.5720082450265146
415,6,664,0.5716341295704653
416,10,2967,0.5713746057577858
417,15,2172,0.5713726012362594
418,7,410,0.5702452733446992
419,12,2504,0.5700277870840395
420,12,2971,0.5693210942291845
421,6,3854,0.5691521948985195
422,7,5613,0.5691152133757238
