rank,layer,neuron,score
67,14,2631,0.2821418974110755
68,13,1880,0.28105953429916747
69,11,105,0.28098642930922885
70,12,5491,0.280486701327942
71,20,6484,0.28046986144602254
72,19,5311,0.2797228485618783
73,24,6697,0.279294580372446
74,14,4680,0.27926556499946603
75,15,6573,0.2790232905935954
76,7,3629,0.27880813094994555
77,11,5767,0.2776790677065402
78,13,963,0.2774286946071969
79,7,589,0.27662833375459994
80,19,7336,0.27632532764815376
81,8,6997,0.275995273840193
82,10,3658,0.2752732885661511
83,7,2706,0.27462506066030107
84,7,335,0.27401507978558587
85,2,3204,0.27338065562873665
86,11,3764,0.2730187181300466
87,13,7635,0.27287288546685345
88,24,165,0.27233848708739067
89,6,7250,0.27220652384750205
90,10,1534,0.2716128419092696
91,21,4893,0.27157372052081175
92,12,6311,0.2710761784517634
93,7,1065,0.27023983368846577
94,12,2782,0.2694008930917239
95,11,4920,0.2686695703077211
96,14,2011,0.2678538012313341
97,12,6002,0.26762452247632557
98,15,4097,0.2675376609325621
99,11,8919,0.26719113462920596
100,9,7783,0.2666415085735982
101,12,4667,0.2655661718095891
102,7,5622,0.26547686254083536
103,9,2479,0.2654360268361795
104,15,8979,0.2654335903670064
105,10,4373,0.2651148248259886
106,14,1182,0.2647110409369527
107,16,1233,0.2641798519099367
108,11,107,0.2641080016272288
109,20,6312,0.26410039065149793
110,12,2932,0.2638532284892876
111,25,5895,0.26378074179303856
112,16,2587,0.2637208270757405
113,20,7559,0.2636174497802674
114,9,4554,0.26355211728063216
115,9,6710,0.2635284907000131
116,7,2020,0.2632151015509855
117,24,7361,0.2624673174838941
118,14,6109,0.2623004523141201
119,12,8182,0.26104508687396755
120,15,847,0.260864484059666
121,17,7951,0.25944480587445545
122,20,7271,0.259098234256415
123,7,40,0.2588936973107601
124,23,481,0.2588888854337402
125,15,2808,0.2583143505883427
126,15,8399,0.25831372114738876
127,7,1057,0.25791249278190154
128,7,4776,0.25708518701031263
129,11,1226,0.25688232727343185
130,24,8697,0.25671960472598654
131,16,2029,0.2563662113118604
132,7,8691,0.2559118557962585
133,18,8587,0.2557245933111141
134,6,1478,0.255567946023958
135,23,3073,0.2552189594765421
136,8,3537,0.25485407749251104
137,16,3483,0.2546542253014623
138,11,3152,0.253766459638487
139,13,1945,0.2537163386421524
140,16,5653,0.2537129234586751
141,10,2758,0.25356497425789787
142,18,1285,0.25330273570433004
143,14,9182,0.2533004173078031
144,11,3460,0.25309374133243545
145,13,1842,0.2524419177589547
