rank,layer,neuron,weight,abs_weight
62,9,2473,-2.501250625312652,2.501250625312652
63,9,2469,-2.501250625312652,2.501250625312652
64,5,2672,2.501250625312652,2.501250625312652
65,9,2465,2.501250625312652,2.501250625312652
66,15,2487,-2.501250625312652,2.501250625312652
67,15,2486,2.501250625312652,2.501250625312652
68,15,2480,-2.501250625312652,2.501250625312652
69,15,2473,2.501250625312652,2.501250625312652
70,15,2472,-2.501250625312652,2.501250625312652
71,15,2470,-2.501250625312652,2.501250625312652
72,5,2712,-2.501250625312652,2.501250625312652
73,19,6886,-2.501250625312652,2.501250625312652
74,19,6885,2.501250625312652,2.501250625312652
75,19,6934,-2.501250625312652,2.501250625312652
76,19,6926,-2.501250625312652,2.501250625312652
77,19,6919,-2.501250625312652,2.501250625312652
78,19,6914,-2.501250625312652,2.501250625312652
79,5,2714,-2.501250625312652,2.501250625312652
80,5,2713,-2.501250625312652,2.501250625312652
81,19,6890,-2.501250625312652,2.501250625312652
82,5,2709,-2.501250625312652,2.501250625312652
83,5,2700,-2.501250625312652,2.501250625312652
84,5,2695,2.501250625312652,2.501250625312652
85,5,2694,2.501250625312652,2.501250625312652
86,5,2693,-2.501250625312652,2.501250625312652
87,19,6968,-2.501250625312652,2.501250625312652
88,19,6967,-2.501250625312652,2.501250625312652
89,19,6966,-2.501250625312652,2.501250625312652
90,15,2565,-2.501250625312652,2.501250625312652
91,15,2533,-2.501250625312652,2.501250625312652
92,15,2591,2.501250625312652,2.501250625312652
93,15,2590,2.501250625312652,2.501250625312652
94,15,2584,-2.501250625312652,2.501250625312652
95,15,2582,2.501250625312652,2.501250625312652
96,15,2575,2.501250625312652,2.501250625312652
97,15,2570,-2.501250625312652,2.501250625312652
98,15,2566,2.501250625312652,2.501250625312652
99,19,6965,2.501250625312652,2.501250625312652
100,15,2564,2.501250625312652,2.501250625312652
101,19,6908,-2.501250625312652,2.501250625312652
102,19,6907,2.501250625312652,2.501250625312652
103,19,6906,2.501250625312652,2.501250625312652
104,19,6905,-2.501250625312652,2.501250625312652
105,19,6904,-2.501250625312652,2.501250625312652
106,19,6900,2.501250625312652,2.501250625312652
107,19,6897,2.501250625312652,2.501250625312652
108,15,2498,2.501250625312652,2.501250625312652
109,15,2526,-2.501250625312652,2.501250625312652
110,15,2524,2.501250625312652,2.501250625312652
111,15,2522,-2.501250625312652,2.501250625312652
112,15,2521,-2.501250625312652,2.501250625312652
113,15,2520,-2.501250625312652,2.501250625312652
114,15,2519,2.501250625312652,2.501250625312652
115,15,2516,2.501250625312652,2.501250625312652
116,15,2512,2.501250625312652,2.501250625312652
117,9,2434,2.501250625312652,2.501250625312652
118,9,2431,-2.501250625312652,2.501250625312652
119,9,2423,-2.501250625312652,2.501250625312652
120,9,2421,2.501250625312652,2.501250625312652
121,9,2420,-2.501250625312652,2.501250625312652
122,9,2419,-2.501250625312652,2.501250625312652
123,9,2417,-2.501250625312652,2.501250625312652
124,9,2414,-2.501250625312652,2.501250625312652
125,5,2673,-2.501250625312652,2.501250625312652
126,5,2685,2.501250625312652,2.501250625312652
127,19,6964,-2.501250625312652,2.501250625312652
128,19,6956,2.501250625312652,2.501250625312652
129,19,6955,2.501250625312652,2.501250625312652
130,19,6951,-2.501250625312652,2.501250625312652
131,19,6950,2.501250625312652,2.501250625312652
132,19,6949,2.501250625312652,2.501250625312652
133,19,6948,2.501250625312652,2.501250625312652
134,5,2686,2.501250625312652,2.501250625312652
135,5,2598,2.501250625312652,2.501250625312652
136,5,2683,-2.501250625312652,2.501250625312652
137,5,2679,-2.501250625312652,2.501250625312652
138,5,2678,-2.501250625312652,2.501250625312652
